GSS_CD,date,GSS_NM,TotalCases,day,area_type,CTY19CD,CTY19NM,LAD19CD,LAD19NM,velocity,acceleration
E06000018,2020-03-24,Nottingham,49,84,LAD,,,E06000018,Nottingham,8.0,1.0
E06000018,2020-03-25,Nottingham,57,85,LAD,,,E06000018,Nottingham,8.0,0.0
E06000018,2020-03-26,Nottingham,67,86,LAD,,,E06000018,Nottingham,10.0,2.0
E06000018,2020-03-27,Nottingham,79,87,LAD,,,E06000018,Nottingham,12.0,2.0
E06000018,2020-03-28,Nottingham,91,88,LAD,,,E06000018,Nottingham,12.0,0.0
E06000018,2020-03-29,Nottingham,97,89,LAD,,,E06000018,Nottingham,6.0,-6.0
E06000019,2020-03-18,"Herefordshire, County of",3,78,LAD,,,E06000019,"Herefordshire, County of",,
E06000019,2020-03-19,"Herefordshire, County of",3,79,LAD,,,E06000019,"Herefordshire, County of",0.0,
E06000019,2020-03-20,"Herefordshire, County of",3,80,LAD,,,E06000019,"Herefordshire, County of",0.0,0.0
E06000019,2020-03-21,"Herefordshire, County of",7,81,LAD,,,E06000019,"Herefordshire, County of",4.0,4.0
E06000019,2020-03-22,"Herefordshire, County of",7,82,LAD,,,E06000019,"Herefordshire, County of",0.0,-4.0
E06000019,2020-03-23,"Herefordshire, County of",7,83,LAD,,,E06000019,"Herefordshire, County of",0.0,0.0
E06000019,2020-03-24,"Herefordshire, County of",15,84,LAD,,,E06000019,"Herefordshire, County of",8.0,8.0
E06000019,2020-03-25,"Herefordshire, County of",15,85,LAD,,,E06000019,"Herefordshire, County of",0.0,-8.0
E06000019,2020-03-26,"Herefordshire, County of",21,86,LAD,,,E06000019,"Herefordshire, County of",6.0,6.0
E06000019,2020-03-27,"Herefordshire, County of",23,87,LAD,,,E06000019,"Herefordshire, County of",2.0,-4.0
E06000019,2020-03-28,"Herefordshire, County of",25,88,LAD,,,E06000019,"Herefordshire, County of",2.0,0.0
E06000019,2020-03-29,"Herefordshire, County of",25,89,LAD,,,E06000019,"Herefordshire, County of",0.0,-2.0
E06000020,2020-03-18,Telford and Wrekin,0,78,LAD,,,E06000020,Telford and Wrekin,,
E06000020,2020-03-19,Telford and Wrekin,0,79,LAD,,,E06000020,Telford and Wrekin,0.0,
E06000020,2020-03-20,Telford and Wrekin,0,80,LAD,,,E06000020,Telford and Wrekin,0.0,0.0
E06000020,2020-03-21,Telford and Wrekin,0,81,LAD,,,E06000020,Telford and Wrekin,0.0,0.0
E06000020,2020-03-22,Telford and Wrekin,1,82,LAD,,,E06000020,Telford and Wrekin,1.0,1.0
E06000020,2020-03-23,Telford and Wrekin,3,83,LAD,,,E06000020,Telford and Wrekin,2.0,1.0
E06000020,2020-03-24,Telford and Wrekin,9,84,LAD,,,E06000020,Telford and Wrekin,6.0,4.0
E06000020,2020-03-25,Telford and Wrekin,12,85,LAD,,,E06000020,Telford and Wrekin,3.0,-3.0
E06000020,2020-03-26,Telford and Wrekin,17,86,LAD,,,E06000020,Telford and Wrekin,5.0,2.0
E06000020,2020-03-27,Telford and Wrekin,21,87,LAD,,,E06000020,Telford and Wrekin,4.0,-1.0
E06000020,2020-03-28,Telford and Wrekin,23,88,LAD,,,E06000020,Telford and Wrekin,2.0,-2.0
E06000020,2020-03-29,Telford and Wrekin,34,89,LAD,,,E06000020,Telford and Wrekin,11.0,9.0
E06000021,2020-03-18,Stoke-on-Trent,1,78,LAD,,,E06000021,Stoke-on-Trent,,
E06000021,2020-03-19,Stoke-on-Trent,2,79,LAD,,,E06000021,Stoke-on-Trent,1.0,
E06000021,2020-03-20,Stoke-on-Trent,2,80,LAD,,,E06000021,Stoke-on-Trent,0.0,-1.0
